City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Grindavik,IS,2021-03-28 23:02:29,63.8424,-22.4338,28.4,100,90,16.11
235,Lumeje,AO,2021-03-28 23:02:30,-11.55,20.7833,65.01,96,100,4.7
236,Hofn,IS,2021-03-28 23:02:30,64.2539,-15.2082,28.2,61,33,8.68
237,Palu,ID,2021-03-28 23:02:30,-0.8917,119.8707,76.86,88,99,1.81
238,Hamminkeln,DE,2021-03-28 23:02:30,51.7333,6.5833,50.0,43,100,13.65
239,Sobolevo,RU,2021-03-28 23:02:31,54.4299,31.8996,34.86,94,99,5.84
240,Te Anau,NZ,2021-03-28 23:02:31,-45.4167,167.7167,59.9,83,91,4.38
241,Nome,US,2021-03-28 23:02:31,64.5011,-165.4064,18.0,86,90,33.38
242,Saint George,US,2021-03-28 23:00:11,37.1041,-113.5841,75.0,17,1,9.22
243,Pangody,RU,2021-03-28 23:02:32,65.85,74.4859,-10.61,99,84,9.24
244,Narsaq,GL,2021-03-28 23:02:32,60.9167,-46.05,21.2,58,0,2.3
245,Kavaratti,IN,2021-03-28 23:02:32,10.5669,72.642,83.08,71,100,2.68
246,Mattru,SL,2021-03-28 23:02:32,7.6244,-11.8332,78.04,87,51,2.42
247,Talgar,KZ,2021-03-28 23:02:33,43.3027,77.2395,44.6,81,90,2.24
248,Vila Franca Do Campo,PT,2021-03-28 23:02:33,37.7167,-25.4333,59.0,77,75,9.22
249,Hervey Bay,AU,2021-03-28 23:02:33,-25.2986,152.8535,75.99,78,100,1.01
250,Mirador,BR,2021-03-28 23:02:34,-6.3708,-44.3631,73.76,91,19,3.85
251,Klaksvik,FO,2021-03-28 23:02:34,62.2266,-6.589,41.0,87,75,18.41
252,Gushikawa,JP,2021-03-28 23:02:34,26.3544,127.8686,69.8,94,1,2.66
253,Batticaloa,LK,2021-03-28 23:02:34,7.7102,81.6924,77.81,78,85,6.17
254,Kotido,UG,2021-03-28 23:02:35,2.9806,34.1331,72.72,42,52,4.43
255,North Bend,US,2021-03-28 22:59:17,43.4065,-124.2243,51.01,87,90,13.8
256,Callaway,US,2021-03-28 23:02:35,30.153,-85.5699,75.2,83,1,13.8
257,Yuanping,CN,2021-03-28 23:02:35,38.7153,112.7575,45.18,34,100,4.61
258,Coihaique,CL,2021-03-28 23:02:36,-45.5752,-72.0662,60.8,67,40,3.44
259,Wasilla,US,2021-03-28 23:02:37,61.5814,-149.4394,32.0,40,1,6.91
260,Shingu,JP,2021-03-28 23:00:49,33.7333,135.9833,60.8,77,40,6.91
261,Juruti,BR,2021-03-28 23:02:37,-2.1522,-56.0922,76.62,89,49,3.27
262,Rio Grande,BR,2021-03-28 23:00:13,-32.035,-52.0986,68.0,94,44,10.83
263,Bereda,ES,2021-03-28 23:02:38,43.2686,-7.5406,53.6,76,0,2.3
264,Vao,NC,2021-03-28 23:02:38,-22.6667,167.4833,77.63,81,12,14.45
265,Norsup,VU,2021-03-28 23:02:38,-16.0667,167.3833,84.25,72,8,8.63
266,Apt,FR,2021-03-28 23:02:39,43.8833,5.4,45.0,87,0,2.3
267,Esperance,AU,2021-03-28 23:02:39,-33.8667,121.9,66.2,72,0,12.66
268,Smithers,CA,2021-03-28 23:00:06,54.7804,-127.1743,32.0,74,90,14.97
269,Vila,PT,2021-03-28 23:02:40,42.0304,-8.1588,55.0,54,3,4.0
270,Ulaangom,MN,2021-03-28 23:02:40,49.9811,92.0667,17.58,87,100,5.08
271,Beira,MZ,2021-03-28 23:02:40,-19.8436,34.8389,75.45,79,23,14.65
272,Jibuti,DJ,2021-03-28 23:02:41,11.5,42.5,78.8,57,1,8.21
273,Baiquan,CN,2021-03-28 23:02:41,47.5833,126.0833,41.56,86,92,3.62
274,Tessalit,ML,2021-03-28 23:02:42,20.1986,1.0114,72.39,10,0,14.63
275,Haapiti,PF,2021-03-28 23:02:42,-17.5667,-149.8667,89.6,55,40,8.05
276,Khonsa,IN,2021-03-28 23:02:42,27.0167,95.5667,62.49,26,12,4.38
277,Matagami,CA,2021-03-28 23:02:43,49.7502,-77.6328,30.2,100,90,25.32
278,Lavrentiya,RU,2021-03-28 23:02:43,65.5833,-171.0,11.37,93,100,19.64
279,Constitucion,CL,2021-03-28 23:02:43,-35.3333,-72.4167,58.12,67,0,0.85
280,Goderich,CA,2021-03-28 23:00:11,43.7501,-81.7165,35.6,87,100,17.27
281,Tevriz,RU,2021-03-28 23:02:44,57.509,72.4042,16.52,91,100,9.46
282,Coahuayana,MX,2021-03-28 23:02:44,18.7333,-103.6833,78.8,53,75,17.27
